Area,Bedrooms,Bathrooms,Stories,Parking,Age,Distance_City,School_Rating,Crime_Index,Hospital_Distance,Mall_Distance,Public_Transport,Garden,Pool,Garage,Income_Area,Population_Density,Air_Quality,Property_Tax,Price
1412,1,3,2,1,8,22.23,9,1.78,8.73,1.08,4,0,0,0,113850,18356,74.54,8359,1813543
553,2,4,3,2,9,6.85,6,1.92,7.91,7.5,6,1,0,1,90284,4590,146.51,7201,2161450
2901,6,5,3,4,12,21.28,1,6.95,15.57,19.71,4,0,1,1,79429,12454,41.15,6820,3661515
2687,6,1,2,4,46,7.72,8,4.42,19.8,12.98,9,0,1,0,50021,1551,124.66,7572,2681257
1042,2,5,3,1,41,15.23,8,2.29,3.22,15.03,9,1,1,1,67447,7686,149.65,3266,2630069
4542,1,1,1,1,40,5.22,7,6.37,8.0,12.12,8,1,0,0,109353,18095,117.61,6573,1471146
2904,4,2,4,0,46,26.34,5,9.75,15.36,10.4,2,1,0,0,69009,5793,90.12,9689,1685832
3155,4,1,1,2,19,7.56,4,8.9,18.97,2.17,8,0,0,0,106474,16074,143.09,3705,1927950
4822,5,4,2,4,48,22.03,4,7.42,8.28,13.6,6,1,1,0,52493,7862,28.32,1344,3534377
2385,5,2,1,0,45,19.12,4,1.61,1.11,6.94,9,0,1,1,48080,18169,37.2,8744,2190440
4374,4,2,1,0,42,13.22,7,4.7,17.34,1.56,2,0,1,1,124935,4080,52.33,4116,3005543
4175,2,4,2,2,29,7.87,2,4.99,17.3,11.23,1,0,0,0,41798,13817,83.13,4502,2182684
980,2,4,1,3,16,27.83,8,3.57,14.08,14.74,9,1,0,0,58890,7633,145.93,9883,1422385
3069,1,1,4,4,33,5.14,9,1.72,4.12,12.1,4,1,0,0,95880,19981,25.17,2343,2578722
4782,3,3,2,2,15,8.34,3,7.05,6.35,6.67,2,0,1,0,29602,18117,47.71,5345,2377817
3359,1,2,3,2,10,13.43,9,7.33,12.43,19.75,9,0,1,0,143067,4900,54.38,2753,2765314
1773,3,3,2,2,13,20.78,5,5.55,5.4,18.21,1,0,1,1,25778,616,63.36,3143,2043796
1823,6,4,4,4,0,3.8,3,5.91,16.77,11.86,3,1,0,0,60404,12448,136.87,1653,3553291
2220,6,2,1,2,49,17.02,7,9.76,15.11,18.55,4,0,0,1,23248,6377,115.75,6442,2128378
2532,3,2,1,3,2,25.83,4,2.8,18.41,7.32,4,0,0,0,72227,11256,56.22,2137,1885255
3376,6,5,4,4,21,28.21,2,8.89,5.59,11.82,5,0,0,1,65309,10778,76.73,9379,3380253
3655,5,2,3,0,45,13.36,9,9.33,11.0,14.53,4,1,1,0,144370,11319,101.01,3041,3132880
4654,3,4,3,3,44,9.22,3,2.73,13.47,7.89,3,1,1,0,59829,9901,47.32,6279,3245548
4119,4,2,4,1,42,3.0,9,6.97,12.58,2.32,4,1,0,0,39313,1300,26.01,8784,2573317
4230,4,5,2,3,31,12.29,3,6.9,0.61,15.14,2,1,0,0,125396,17472,80.39,5082,3180520
4239,2,4,3,3,39,24.54,9,4.84,18.18,9.2,3,1,1,1,118536,8601,129.18,5543,3274939
4469,6,2,3,3,4,21.55,4,3.45,6.73,11.03,3,0,0,1,110957,5507,111.83,2052,3732735
3839,3,5,4,3,3,6.6,7,4.51,15.51,18.95,1,1,1,0,143567,12026,58.82,7389,4196930
4909,6,5,2,3,14,8.55,8,1.26,7.05,13.74,7,0,1,0,148545,18002,23.51,7455,5049217
722,1,4,2,3,11,1.98,7,3.95,9.37,7.08,7,1,1,1,129433,3183,81.14,9837,2333879
3366,2,1,1,0,15,6.38,1,6.59,5.15,9.73,2,0,1,1,120518,12587,41.81,2876,1782451
3048,1,5,1,2,36,20.48,7,4.57,14.44,1.98,4,0,1,0,124363,19044,121.74,6688,2459387
4009,6,3,1,4,41,10.57,7,8.4,2.56,19.24,8,0,1,0,116180,17596,145.51,5425,3639974
4460,4,4,3,2,15,25.01,2,3.51,9.29,15.13,10,1,1,0,84789,11150,43.64,4475,3366516
2616,3,3,3,4,0,15.74,4,1.77,14.54,10.03,4,1,1,1,123931,1065,32.1,4630,3471743
2493,3,5,3,3,35,16.16,7,9.97,11.23,7.36,8,1,1,1,50217,4453,113.77,6169,2580335
